name,value,sign,magnitude,unit,uncertainty,is_dimensionless,sparse_signed_predicted,sparse_magnitude_predicted,sparse_relative_error_percent,sparse_log10_error,sparse_pass_1_percent,sparse_pass_0_1_percent,sparse_complexity,sparse_formula,exact_calibration_coefficient,exact_calibrated_predicted,exact_calibrated_relative_error_percent,status
alpha particle mass,6.644657345e-27,1,6.644657345e-27,kg,2.1e-36,False,3.771190459990763e-25,3.771190459990763e-25,5575.522851194914,1.7540058766015723,False,False,9,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,0.017619522046139972,6.644657345e-27,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
alpha particle mass energy equivalent,5.9719201997e-10,1,5.9719201997e-10,J,1.9e-19,False,6.020671189433396e-10,6.020671189433396e-10,0.816336925196102,0.0035309136727038172,True,False,5,sign(1) * 1 * K^-2 * bits^-1 * dict^-2,0.9919027317387874,5.9719201997e-10,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
alpha particle mass energy equivalent in MeV,3727.3794118,1,3727.3794118,MeV,1.2e-06,False,3664.31476976819,3664.31476976819,1.691929773292253,0.007410828952563412,False,False,3,sign(1) * m_e[MeV] * pi^-1 * bits^1 * dict^1,1.0172104870880947,3727.3794118000005,1.220018948022414e-14,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
alpha particle mass in u,4.001506179129,1,4.001506179129,u,6.2e-11,False,4.0,4.0,0.03764030496455432,0.0001635005404144007,True,True,2,sign(1) * 1 * K^-1 * words^1,1.00037654478225,4.001506179129,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
alpha particle molar mass,0.0040015061833,1,0.0040015061833,kg mol^-1,1.2e-12,False,0.00390625,0.00390625,2.3805082120713745,0.010463457632916522,False,False,1,sign(1) * 1 * entropy^-1,1.0243855829248,0.0040015061833,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
alpha particle relative atomic mass,4.001506179129,1,4.001506179129,,6.2e-11,True,4.0,4.0,0.03764030496455432,0.0001635005404144007,True,True,2,sign(1) * 1 * K^-1 * words^1,1.00037654478225,4.001506179129,0.0,DIMENSIONLESS_LOOK_ELSEWHERE_FIT
alpha particle rms charge radius,1.6785e-15,1,1.6785e-15,m,2.1e-18,False,1.6703300308042759e-15,1.6703300308042759e-15,0.48674228154447785,0.002119056235072873,True,False,5,sign(1) * 1 * dict^-3 * total_bits^-2,1.0048912305023876,1.6784999999999998e-15,1.1749492183810126e-14,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
alpha particle-electron mass ratio,7294.29954171,1,7294.29954171,,1.7e-07,True,7170.885115948437,7170.885115948437,1.691929774145682,0.007410828956333593,False,False,3,sign(1) * 1 * pi^-1 * bits^1 * dict^1,1.0172104870969252,7294.29954171,0.0,DIMENSIONLESS_LOOK_ELSEWHERE_FIT
alpha particle-proton mass ratio,3.972599690252,1,3.972599690252,,7e-11,True,4.0,4.0,0.6897324644925816,0.002985186925421921,True,False,2,sign(1) * 1 * K^-1 * words^1,0.993149922563,3.972599690252,0.0,DIMENSIONLESS_LOOK_ELSEWHERE_FIT
Angstrom star,1.00001495e-10,1,1.00001495e-10,m,9e-17,False,1.0034135461815165e-10,1.0034135461815165e-10,0.33985453732632354,0.0014734670955368404,True,False,5,sign(1) * 1 * dict^-2 * total_bits^-1 * U^-2,0.9966129656167689,1.00001495e-10,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
atomic mass constant,1.66053906892e-27,1,1.66053906892e-27,kg,5.2e-37,False,3.771190459990763e-25,3.771190459990763e-25,22610.639758951966,2.3562293684720084,False,False,9,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,0.00440322250105625,1.66053906892e-27,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
atomic mass constant energy equivalent,1.49241808768e-10,1,1.49241808768e-10,J,4.6e-20,False,1.505167797358349e-10,1.505167797358349e-10,0.8542987909084291,0.0036944142134524077,True,False,4,sign(1) * 1 * K^-1 * dict^-2 * total_bits^-1,0.9915293765248464,1.49241808768e-10,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
