name,unit,sector,split,observed,sparse_prediction,exact_calibration_coefficient,exact_prediction,exact_relative_error_percent,predicted_calibration_coefficient,predictive_prediction,predictive_relative_error_percent,predictive_log10_error,predictive_pass_1_percent,predictive_pass_10_percent,sparse_formula,status
alpha particle mass,kg,nuclear_particle,train,6.644657345e-27,3.771190459990763e-25,0.017619522046139972,6.644657345e-27,0.0,6.545734398382808e-06,2.4685211116814625e-30,99.96284953484412,3.4300357441277747,False,False,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,EXACT_SYMBOLIC_OK
alpha particle mass energy equivalent,J,nuclear_particle,train,5.9719201997e-10,6.020671189433396e-10,0.9919027317387874,5.9719201997e-10,0.0,9.559548387440834,5.755489756025951e-09,863.7586510809502,0.9839682894765038,False,False,sign(1) * 1 * K^-2 * bits^-1 * dict^-2,EXACT_SYMBOLIC_OK
alpha particle mass energy equivalent in MeV,MeV,nuclear_particle,train,3727.3794118,3664.31476976819,1.0172104870880947,3727.3794118000005,1.220018948022414e-14,4.205425621620374,15410.003218465108,313.4272773434518,0.616399127368505,False,False,sign(1) * m_e[MeV] * pi^-1 * bits^1 * dict^1,EXACT_SYMBOLIC_OK
alpha particle mass in u,u,nuclear_particle,test,4.001506179129,4.0,1.00037654478225,4.001506179129,0.0,33.95624642389637,135.82498569558547,3294.3465189187896,1.530756176099641,False,False,sign(1) * 1 * K^-1 * words^1,EXACT_SYMBOLIC_OK
alpha particle molar mass,kg mol^-1,thermodynamic_statistical,train,0.0040015061833,0.00390625,1.0243855829248,0.0040015061833,0.0,2.438878004408373,0.009526867204720207,138.08203132310294,0.37672661929526685,False,False,sign(1) * 1 * entropy^-1,EXACT_SYMBOLIC_OK
alpha particle relative atomic mass,,dimensionless_ratio,test,4.001506179129,4.0,1.00037654478225,4.001506179129,0.0,1.6673763729860178,6.669505491944071,66.6748767434319,0.22187014263565652,False,False,sign(1) * 1 * K^-1 * words^1,EXACT_SYMBOLIC_OK
alpha particle rms charge radius,m,electromagnetic_quantum,train,1.6785e-15,1.6703300308042759e-15,1.0048912305023876,1.6784999999999998e-15,1.1749492183810126e-14,0.8223072094981126,1.3735244265715607e-15,18.169530737470318,0.08708495832478469,False,False,sign(1) * 1 * dict^-3 * total_bits^-2,EXACT_SYMBOLIC_OK
alpha particle-electron mass ratio,,dimensionless_ratio,test,7294.29954171,7170.885115948437,1.0172104870969252,7294.29954171,0.0,5.0828484300865915,36448.522153929815,399.68502041232597,0.6986963303315623,False,False,sign(1) * 1 * pi^-1 * bits^1 * dict^1,EXACT_SYMBOLIC_OK
alpha particle-proton mass ratio,,dimensionless_ratio,train,3.972599690252,4.0,0.993149922563,3.972599690252,0.0,1.6673763729860178,6.669505491944071,67.88768091357812,0.22501883010149287,False,False,sign(1) * 1 * K^-1 * words^1,EXACT_SYMBOLIC_OK
Angstrom star,m,general_dimensional,train,1.00001495e-10,1.0034135461815165e-10,0.9966129656167689,1.00001495e-10,0.0,6.138759189851191,6.159714127842957e-10,515.9622041493437,0.7895540643836271,False,False,sign(1) * 1 * dict^-2 * total_bits^-1 * U^-2,EXACT_SYMBOLIC_OK
atomic mass constant,kg,general_dimensional,train,1.66053906892e-27,3.771190459990763e-25,0.00440322250105625,1.66053906892e-27,0.0,1.0782662034340582e-06,4.06634721972098e-31,99.97551188468955,3.61104463838575,False,False,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,EXACT_SYMBOLIC_OK
atomic mass constant energy equivalent,J,general_dimensional,test,1.49241808768e-10,1.505167797358349e-10,0.9915293765248464,1.49241808768e-10,0.0,1.825631674519734,2.7478820063245023e-10,84.12280238415974,0.2651075763170635,False,False,sign(1) * 1 * K^-1 * dict^-2 * total_bits^-1,EXACT_SYMBOLIC_OK
atomic mass constant energy equivalent in MeV,MeV,general_dimensional,train,931.49410372,937.8139112331337,0.993261128420644,931.49410372,0.0,0.5226202598501163,490.1205499797142,47.38339748771607,0.27887719801777533,False,False,sign(1) * 1 * U^2 * f1^1,EXACT_SYMBOLIC_OK
atomic mass unit-electron volt relationship,eV,quantum_atomic,train,931494103.72,934281216.0,0.9970168379367268,931494103.72,0.0,63.65164282551943,59468534259.42397,6284.20941387942,1.8051071242387617,False,False,sign(1) * 1 * words^3 * entropy^1 * total_bits^1,EXACT_SYMBOLIC_OK
atomic mass unit-hartree relationship,E_h,quantum_atomic,train,34231776.922,33554432.0,1.0201864517331123,34231776.922,0.0,73.10744891324437,2453078923.252932,7066.087021548663,1.855282077727513,False,False,sign(1) * 1 * dict^2 * checksum^1,EXACT_SYMBOLIC_OK
atomic mass unit-hertz relationship,Hz,general_dimensional,train,2.25234272185e+23,1.7880638506038924e+23,1.259654525809749,2.25234272185e+23,0.0,1098.067435156308,1.963414686328328e+26,87072.11049993511,2.940377560696922,False,False,sign(1) * 1 * dict^3 * total_bits^3 * f1^3,EXACT_SYMBOLIC_OK
atomic mass unit-inverse meter relationship,m^-1,general_dimensional,train,751300662090000.0,746106403961069.4,1.0069618195224628,751300662090000.0,0.0,7560.971985596721,5.641289618623956e+18,750769.7786756606,3.875564625011702,False,False,sign(1) * 1 * dict^3 * checksum^1 * f1^2,EXACT_SYMBOLIC_OK
atomic mass unit-joule relationship,J,general_dimensional,train,1.49241808768e-10,1.505167797358349e-10,0.9915293765248464,1.49241808768e-10,0.0,1.825631674519734,2.7478820063245023e-10,84.12280238415974,0.2651075763170635,False,False,sign(1) * 1 * K^-1 * dict^-2 * total_bits^-1,EXACT_SYMBOLIC_OK
atomic mass unit-kelvin relationship,K,thermodynamic_statistical,train,10809540206700.0,10795205072709.818,1.0013279167828335,10809540206700.0,0.0,3470.3911258850894,3.746358388644186e+16,346478.8846709786,3.539802099779452,False,False,sign(1) * 1 * bits^-1 * dict^3 * words^3,EXACT_SYMBOLIC_OK
atomic mass unit-kilogram relationship,kg,general_dimensional,train,1.66053906892e-27,3.771190459990763e-25,0.00440322250105625,1.66053906892e-27,0.0,1.0782662034340582e-06,4.06634721972098e-31,99.97551188468955,3.61104463838575,False,False,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,EXACT_SYMBOLIC_OK
atomic unit of 1st hyperpolarizability,C^3 m^3 J^-2,quantum_atomic,train,3.2063612996e-53,3.771190459990763e-25,8.50225236199779e-29,3.2063612996e-53,0.0,2.1015771367149298e-13,7.925447648914047e-38,2.471788706376527e+17,15.39301134361067,False,False,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,EXACT_SYMBOLIC_OK
