index,lambda
0,0.0
1,0.409251540621486
2,0.8379309022844813
3,1.1208158584671555
4,1.3559674504207142
5,2.164506175281638
6,2.3885253576512597
7,3.028699281099647
8,3.3860785879226
9,3.8376340107663007
10,4.266033684588979
11,4.4023005296962765
12,4.579812532838647
13,4.921610974450304
14,5.113638384409846
15,5.22105097297811
16,5.298847519456824
17,5.528089618405989
18,5.622234072281872
19,6.028858596888724
20,6.078195938901693
21,6.187775210387823
22,6.295154576792991
23,6.401589881861026
24,6.654003787175924
25,6.729577962886191
26,6.776819694284098
27,6.900843093993774
28,7.001307433384941
29,7.19120602312558
30,7.25573543814794
31,7.388950030908756
32,7.446527161606689
33,7.499882436295478
34,7.721437834163026
35,7.797969445646144
36,7.8142177013817635
37,8.04054748488188
38,8.140076284693983
39,8.264610176657047
40,8.426775519553823
41,8.680426425876592
42,8.819957027681722
43,9.019978265530753
44,9.108599646634607
45,9.259589134819485
46,9.530792781278196
47,10.055567550937203
