index,name,symbol_observed,symbol_prediction,symbol_calibration,unit,observed_value,sparse_prediction,exact_calibration_coefficient,exact_calibrated_value,exact_relative_error_percent,sympy_identity_passed,numeric_validation_passed,theorem_statement,calibration_definition,sparse_formula,proof_mode,physical_status
1,alpha particle mass,O_1_alpha_particle_mass,P_1_alpha_particle_mass,C_1_alpha_particle_mass,kg,6.644657345e-27,3.771190459990763e-25,0.017619522046139972,6.644657345e-27,0.0,True,True,O_1_alpha_particle_mass = P_1_alpha_particle_mass * C_1_alpha_particle_mass,C_1_alpha_particle_mass := O_1_alpha_particle_mass / P_1_alpha_particle_mass,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,DEFINITIONAL_SYMBOLIC_IDENTITY,CALIBRATED_FIT_NOT_NO_FIT_PHYSICS
2,alpha particle mass energy equivalent,O_2_alpha_particle_mass_energy_equivalent,P_2_alpha_particle_mass_energy_equivalent,C_2_alpha_particle_mass_energy_equivalent,J,5.9719201997e-10,6.020671189433396e-10,0.9919027317387874,5.9719201997e-10,0.0,True,True,O_2_alpha_particle_mass_energy_equivalent = P_2_alpha_particle_mass_energy_equivalent * C_2_alpha_particle_mass_energy_equivalent,C_2_alpha_particle_mass_energy_equivalent := O_2_alpha_particle_mass_energy_equivalent / P_2_alpha_particle_mass_energy_equivalent,sign(1) * 1 * K^-2 * bits^-1 * dict^-2,DEFINITIONAL_SYMBOLIC_IDENTITY,CALIBRATED_FIT_NOT_NO_FIT_PHYSICS
3,alpha particle mass energy equivalent in MeV,O_3_alpha_particle_mass_energy_equivalent_in_MeV,P_3_alpha_particle_mass_energy_equivalent_in_MeV,C_3_alpha_particle_mass_energy_equivalent_in_MeV,MeV,3727.3794118,3664.31476976819,1.0172104870880947,3727.3794118000005,1.220018948022414e-14,True,True,O_3_alpha_particle_mass_energy_equivalent_in_MeV = P_3_alpha_particle_mass_energy_equivalent_in_MeV * C_3_alpha_particle_mass_energy_equivalent_in_MeV,C_3_alpha_particle_mass_energy_equivalent_in_MeV := O_3_alpha_particle_mass_energy_equivalent_in_MeV / P_3_alpha_particle_mass_energy_equivalent_in_MeV,sign(1) * m_e[MeV] * pi^-1 * bits^1 * dict^1,DEFINITIONAL_SYMBOLIC_IDENTITY,CALIBRATED_FIT_NOT_NO_FIT_PHYSICS
4,alpha particle mass in u,O_4_alpha_particle_mass_in_u,P_4_alpha_particle_mass_in_u,C_4_alpha_particle_mass_in_u,u,4.001506179129,4.0,1.00037654478225,4.001506179129,0.0,True,True,O_4_alpha_particle_mass_in_u = P_4_alpha_particle_mass_in_u * C_4_alpha_particle_mass_in_u,C_4_alpha_particle_mass_in_u := O_4_alpha_particle_mass_in_u / P_4_alpha_particle_mass_in_u,sign(1) * 1 * K^-1 * words^1,DEFINITIONAL_SYMBOLIC_IDENTITY,CALIBRATED_FIT_NOT_NO_FIT_PHYSICS
5,alpha particle molar mass,O_5_alpha_particle_molar_mass,P_5_alpha_particle_molar_mass,C_5_alpha_particle_molar_mass,kg mol^-1,0.0040015061833,0.00390625,1.0243855829248,0.0040015061833,0.0,True,True,O_5_alpha_particle_molar_mass = P_5_alpha_particle_molar_mass * C_5_alpha_particle_molar_mass,C_5_alpha_particle_molar_mass := O_5_alpha_particle_molar_mass / P_5_alpha_particle_molar_mass,sign(1) * 1 * entropy^-1,DEFINITIONAL_SYMBOLIC_IDENTITY,CALIBRATED_FIT_NOT_NO_FIT_PHYSICS
6,alpha particle relative atomic mass,O_6_alpha_particle_relative_atomic_mass,P_6_alpha_particle_relative_atomic_mass,C_6_alpha_particle_relative_atomic_mass,,4.001506179129,4.0,1.00037654478225,4.001506179129,0.0,True,True,O_6_alpha_particle_relative_atomic_mass = P_6_alpha_particle_relative_atomic_mass * C_6_alpha_particle_relative_atomic_mass,C_6_alpha_particle_relative_atomic_mass := O_6_alpha_particle_relative_atomic_mass / P_6_alpha_particle_relative_atomic_mass,sign(1) * 1 * K^-1 * words^1,DEFINITIONAL_SYMBOLIC_IDENTITY,CALIBRATED_FIT_NOT_NO_FIT_PHYSICS
7,alpha particle rms charge radius,O_7_alpha_particle_rms_charge_radius,P_7_alpha_particle_rms_charge_radius,C_7_alpha_particle_rms_charge_radius,m,1.6785e-15,1.6703300308042759e-15,1.0048912305023876,1.6784999999999998e-15,1.1749492183810126e-14,True,True,O_7_alpha_particle_rms_charge_radius = P_7_alpha_particle_rms_charge_radius * C_7_alpha_particle_rms_charge_radius,C_7_alpha_particle_rms_charge_radius := O_7_alpha_particle_rms_charge_radius / P_7_alpha_particle_rms_charge_radius,sign(1) * 1 * dict^-3 * total_bits^-2,DEFINITIONAL_SYMBOLIC_IDENTITY,CALIBRATED_FIT_NOT_NO_FIT_PHYSICS
8,alpha particle-electron mass ratio,O_8_alpha_particle_electron_mass_ratio,P_8_alpha_particle_electron_mass_ratio,C_8_alpha_particle_electron_mass_ratio,,7294.29954171,7170.885115948437,1.0172104870969252,7294.29954171,0.0,True,True,O_8_alpha_particle_electron_mass_ratio = P_8_alpha_particle_electron_mass_ratio * C_8_alpha_particle_electron_mass_ratio,C_8_alpha_particle_electron_mass_ratio := O_8_alpha_particle_electron_mass_ratio / P_8_alpha_particle_electron_mass_ratio,sign(1) * 1 * pi^-1 * bits^1 * dict^1,DEFINITIONAL_SYMBOLIC_IDENTITY,CALIBRATED_FIT_NOT_NO_FIT_PHYSICS
9,alpha particle-proton mass ratio,O_9_alpha_particle_proton_mass_ratio,P_9_alpha_particle_proton_mass_ratio,C_9_alpha_particle_proton_mass_ratio,,3.972599690252,4.0,0.993149922563,3.972599690252,0.0,True,True,O_9_alpha_particle_proton_mass_ratio = P_9_alpha_particle_proton_mass_ratio * C_9_alpha_particle_proton_mass_ratio,C_9_alpha_particle_proton_mass_ratio := O_9_alpha_particle_proton_mass_ratio / P_9_alpha_particle_proton_mass_ratio,sign(1) * 1 * K^-1 * words^1,DEFINITIONAL_SYMBOLIC_IDENTITY,CALIBRATED_FIT_NOT_NO_FIT_PHYSICS
10,Angstrom star,O_10_Angstrom_star,P_10_Angstrom_star,C_10_Angstrom_star,m,1.00001495e-10,1.0034135461815165e-10,0.9966129656167689,1.00001495e-10,0.0,True,True,O_10_Angstrom_star = P_10_Angstrom_star * C_10_Angstrom_star,C_10_Angstrom_star := O_10_Angstrom_star / P_10_Angstrom_star,sign(1) * 1 * dict^-2 * total_bits^-1 * U^-2,DEFINITIONAL_SYMBOLIC_IDENTITY,CALIBRATED_FIT_NOT_NO_FIT_PHYSICS
